repo_name,total_events,unique_actors,bot_ratio,events_per_actor,events_per_second,distinct_branches,z_total_events,z_unique_actors,z_bot_ratio,z_events_per_actor,z_events_per_second,z_distinct_branches,max_z,anomaly_feature
cjhorngg/mazu-gps-cache,381,1,0.0,381.0,0.0015505137857360872,0,5.168736729573951,-0.050671985279635054,-0.46454989815209413,5.464909110886107,-0.8742641328859183,-0.07819981116581376,5.464909110886107,events_per_actor
adithyaaditya/AutoGreen,381,1,1.0,381.0,0.001503249148750646,0,5.168736729573951,-0.050671985279635054,2.300566933694207,5.464909110886107,-0.874351584868832,-0.07819981116581376,5.464909110886107,events_per_actor
tribal666/macro-alerts-telegram,380,1,1.0,380.0,0.0014885790729286226,0,5.154990420561528,-0.050671985279635054,2.300566933694207,5.450408272200662,-0.874378728359229,-0.07819981116581376,5.450408272200662,events_per_actor
mulequim/VC-1,380,1,0.0,380.0,0.0014978025659722906,0,5.154990420561528,-0.050671985279635054,-0.46454989815209413,5.450408272200662,-0.8743616624764146,-0.07819981116581376,5.450408272200662,events_per_actor
Rick110102/pm10_nowcasting_antm,380,1,1.0,380.0,0.0014919747463642931,0,5.154990420561528,-0.050671985279635054,2.300566933694207,5.450408272200662,-0.8743724454721866,-0.07819981116581376,5.450408272200662,events_per_actor
devandrepascoa/cloudflare-docs,380,1,1.0,380.0,0.15236567762630313,0,5.154990420561528,-0.050671985279635054,2.300566933694207,5.450408272200662,-0.5952164987026266,-0.07819981116581376,5.450408272200662,events_per_actor
zhaoxixioo/tavo1,380,1,0.0,380.0,0.0016636676867576431,0,5.154990420561528,-0.050671985279635054,-0.46454989815209413,5.450408272200662,-0.8740547684720583,-0.07819981116581376,5.450408272200662,events_per_actor
paralaci/now001,380,1,0.0,380.0,0.0018751727132762228,0,5.154990420561528,-0.050671985279635054,-0.46454989815209413,5.450408272200662,-0.8736634286640118,-0.07819981116581376,5.450408272200662,events_per_actor
camelweiming/rss,379,1,1.0,379.0,0.0014843477681910932,0,5.1412441115491045,-0.050671985279635054,2.300566933694207,5.435907433515217,-0.8743865573834892,-0.07819981116581376,5.435907433515217,events_per_actor
Viishnu07/NOC-Monitoring,379,1,1.0,379.0,0.001491409637890462,0,5.1412441115491045,-0.050671985279635054,2.300566933694207,5.435907433515217,-0.8743734910711747,-0.07819981116581376,5.435907433515217,events_per_actor
bartmanuel/OnlyGribs,104,1,0.0,104.0,0.00047216282353368475,31,1.3610091331328085,-0.050671985279635054,-0.46454989815209413,1.4481767950178093,-0.876259365176618,5.43515759227521,5.43515759227521,distinct_branches
groundnuty/macf,218,5,0.7522935779816514,43.6,0.0011720997252555232,31,2.9280883605490184,0.9866758047485088,1.6156297368148482,0.5723261384169239,-0.8749642982116705,5.43515759227521,5.43515759227521,distinct_branches
dbt-labs/dbt-workshop-foundational-project,69,2,0.0,34.5,0.0003858715103793844,31,0.8798883176980071,0.2086649622274009,-0.46454989815209413,0.44036850637937336,-0.8764190267529017,5.43515759227521,5.43515759227521,distinct_branches
silex-ai/entreposto-cd-p1,135,1,0.0,135.0,0.0005412839254712177,31,1.787144712517918,-0.050671985279635054,-0.46454989815209413,1.897702794266608,-0.876131472997366,5.43515759227521,5.43515759227521,distinct_branches
stacksjs/bun-plugin-yml,174,3,0.16091954022988506,58.0,0.0006871630827557609,31,2.323250764002411,0.4680019097344369,-0.01958856888947098,0.7811382154873336,-0.8758615582707545,5.43515759227521,5.43515759227521,distinct_branches
jeremymcs/gsd-2,61,1,0.0,61.0,0.00024260646844525047,31,0.769917845598624,-0.050671985279635054,-0.46454989815209413,0.824640731543669,-0.8766841046800466,5.43515759227521,5.43515759227521,distinct_branches
open-edge-platform/training_extensions,168,18,0.4107142857142857,9.333333333333334,0.0007675052880200648,31,2.2407729099278737,4.358056122339976,0.6711230863562081,0.07543073279567114,-0.8757129041053963,5.43515759227521,5.43515759227521,distinct_branches
Rogmar0071/RRECOB,32,1,0.0,32.0,0.0005606068569226188,31,0.37127488423835997,-0.050671985279635054,-0.46454989815209413,0.40411640966576057,-0.8760957205029238,5.43515759227521,5.43515759227521,distinct_branches
arun-gupta/repo-pulse,193,2,0.031088082901554404,96.5,0.0007586269245736163,31,2.584430635238446,0.2086649622274009,-0.3785877168511729,1.339420504876971,-0.8757293314078775,5.43515759227521,5.43515759227521,distinct_branches
higebu/packet-dissector,101,4,0.4752475247524752,25.25,0.0006988023496364152,31,1.3197702060955396,0.7273388572414728,0.8495650318342668,0.306235748539006,-0.8758400225723275,5.43515759227521,5.43515759227521,distinct_branches
