actor_login,repo_name,event_count,rank,purpose_label,name_category,language
ALECRAFT-BOT,ALECRAFT-BOT/TAREA3-BIG-DATA-WALTER-TOSCANO,1,1.0,no_description,automation,
ALEItw-bot,ALEItw-bot/miaohui-monthly,16,1.0,no_description,automation,
ANTA007-BOT,ANTA007-BOT/TP-3-Cours-R,1,1.0,no_description,automation,
ARSH871-bot,ARSH871-bot/PRELOVED-,4,1.0,no_description,automation,
AS88-bot,AS88-bot/NeuroStadium,1,1.0,no_description,automation,
AUSr-Bot,AUSr-Bot/Commands,6,1.0,no_description,automation,
AbM-bot,AbM-bot/AI-Fitness-Tracker-Left-Arm-Bicep-Curl-Counter-using-MediaPipe-and-OpenCV,3,1.0,no_description,automation,
Abhi-web-bot,Abhi-web-bot/time-whisperer,1,1.0,no_description,automation,
Abhinav7512-bot,Abhinav7512-bot/100-DAYS-DSA,5,1.0,no_description,automation,
Abhirup2003-bot,Abhirup2003-bot/FRONTEND_Desun_Learn_And_Eran,5,1.0,no_description,automation,
Abraxas-Bot,abraxas-labs/voting-ecollecting-service,1,1.0,no_description,general,
Abraxas-Bot,abraxas-labs/voting-ecollecting-webapp,1,2.0,no_description,general,
Abraxas-Bot,abraxas-labs/voting-stimmunterlagen-online-proto,1,3.0,no_description,general,
Abraxas-Bot,abraxas-labs/voting-stimmunterlagen-online-service,1,4.0,no_description,general,
Absherbh-bot,Absherbh-bot/absherbh-bot,5,1.0,no_description,automation,
Adi-coder-bot,Adi-coder-bot/2D-Random-Walk-Simulation,3,1.0,no_description,automation,
Adi-coder-bot,Adi-coder-bot/2D-Diffusion,1,2.0,no_description,automation,
Aditya-bot,Aditya-bot/DeepFakeVideo_SAFEREPO,1,1.0,no_description,automation,
AdityaRana01-bot,AdityaRana01-bot/In_House_Training-,16,1.0,no_description,automation,
AdityaRana01-bot,AdityaRana01-bot/Trading_Bot,1,2.0,no_description,automation,
AirOoO-bot,AirOoO-bot/CY_Prediction,1,1.0,no_description,automation,
