repo_name,total_events,unique_actors,bot_events,first_event,last_event,phish_name_flag,ai_coauthor_flag,total_payload_b,events_per_actor,bot_ratio,time_span_s,events_per_second,event_type_diversity,distinct_branches,suspicious_score
Kamil02167/Kamil02167,1,1,1,2026-04-15 12:00:05+00:00,2026-04-15 12:00:05+00:00,False,False,616,1.0,1.0,0.0,1.0,1,0,4
Atomico47/cdc-feeds,1,1,1,2026-04-15 12:00:16+00:00,2026-04-15 12:00:16+00:00,False,False,614,1.0,1.0,0.0,1.0,1,0,4
grekko/tic-tac-toe,1,1,1,2026-04-15 12:00:05+00:00,2026-04-15 12:00:05+00:00,False,False,533,1.0,1.0,0.0,1.0,1,0,4
DevSagarKumarJha/devsagarkumarjha,1,1,1,2026-04-15 12:00:17+00:00,2026-04-15 12:00:17+00:00,False,False,642,1.0,1.0,0.0,1.0,1,0,4
opendatahub-io/odh-build-metadata,1,1,1,2026-04-15 12:00:00+00:00,2026-04-15 12:00:00+00:00,False,False,814,1.0,1.0,0.0,1.0,1,0,4
Tolulop3/investos,1,1,1,2026-04-15 12:00:12+00:00,2026-04-15 12:00:12+00:00,False,False,610,1.0,1.0,0.0,1.0,1,0,4
Atharva-Shimpi/Chess.com_rating_chart,2,1,0,2026-04-15 12:00:12+00:00,2026-04-15 12:00:56+00:00,True,False,1320,2.0,0.0,44.0,0.045454545454545456,1,0,4
nikokhoirurizal/verbose-octo-potato,1,1,1,2026-04-15 12:00:00+00:00,2026-04-15 12:00:00+00:00,False,False,648,1.0,1.0,0.0,1.0,1,0,4
hbstack/carousel,1,1,1,2026-04-15 12:00:00+00:00,2026-04-15 12:00:00+00:00,False,False,777,1.0,1.0,0.0,1.0,1,1,4
Antdaosocial/365day,1,1,1,2026-04-15 12:00:05+00:00,2026-04-15 12:00:05+00:00,False,False,612,1.0,1.0,0.0,1.0,1,0,4
seiichigenpaku/AutoGreen,1,1,1,2026-04-15 12:00:00+00:00,2026-04-15 12:00:00+00:00,False,False,624,1.0,1.0,0.0,1.0,1,0,4
BeverlyBob/-Beverly,1,1,1,2026-04-15 12:00:09+00:00,2026-04-15 12:00:09+00:00,False,False,614,1.0,1.0,0.0,1.0,1,0,4
Lester165/Lester165,1,1,1,2026-04-15 12:00:00+00:00,2026-04-15 12:00:00+00:00,False,False,612,1.0,1.0,0.0,1.0,1,0,4
security-alliance/blocklists,1,1,1,2026-04-15 12:00:00+00:00,2026-04-15 12:00:00+00:00,False,False,833,1.0,1.0,0.0,1.0,1,0,4
artifishvr/artifishvr,1,1,1,2026-04-15 12:00:03+00:00,2026-04-15 12:00:03+00:00,False,False,616,1.0,1.0,0.0,1.0,1,0,4
adamtasteslikegood/tasteslikegoodtheangularsvegancookbook,1,1,1,2026-04-15 12:00:58+00:00,2026-04-15 12:00:58+00:00,False,False,3553,1.0,1.0,0.0,1.0,1,0,4
iRyfylke/kolumbus,1,1,1,2026-04-15 12:01:57+00:00,2026-04-15 12:01:57+00:00,False,False,614,1.0,1.0,0.0,1.0,1,0,4
X4R3L70/Instapaper-RSS-sync,1,1,1,2026-04-15 12:01:13+00:00,2026-04-15 12:01:13+00:00,False,False,630,1.0,1.0,0.0,1.0,1,0,4
GlobeKarolian/retro-boston,1,1,1,2026-04-15 12:01:12+00:00,2026-04-15 12:01:12+00:00,False,False,628,1.0,1.0,0.0,1.0,1,0,4
MarlonLuan/jhipster-starter,1,1,1,2026-04-15 12:01:10+00:00,2026-04-15 12:01:10+00:00,False,False,630,1.0,1.0,0.0,1.0,1,0,4
google/xls,1,1,1,2026-04-15 12:01:57+00:00,2026-04-15 12:01:57+00:00,False,False,772,1.0,1.0,0.0,1.0,1,0,4
Shinigami92/github-contributors-map,1,1,1,2026-04-15 12:01:57+00:00,2026-04-15 12:01:57+00:00,False,False,657,1.0,1.0,0.0,1.0,1,0,4
FastHaleqt/Setllacheliaoque,1,1,1,2026-04-15 12:01:12+00:00,2026-04-15 12:01:12+00:00,False,False,630,1.0,1.0,0.0,1.0,1,0,4
SamSepiol266/THM-SecLists,1,1,1,2026-04-15 12:01:12+00:00,2026-04-15 12:01:12+00:00,False,False,626,1.0,1.0,0.0,1.0,1,0,4
goncharov6543-source/WowDecorScanner,1,1,1,2026-04-15 12:01:12+00:00,2026-04-15 12:01:12+00:00,False,False,648,1.0,1.0,0.0,1.0,1,0,4
albverfar123/meteocat-radar,1,1,1,2026-04-15 12:01:12+00:00,2026-04-15 12:01:12+00:00,False,False,630,1.0,1.0,0.0,1.0,1,0,4
