repo_name,total_events,unique_actors,bot_ratio,events_per_actor,events_per_second,z_total_events,z_unique_actors,z_bot_ratio,z_events_per_actor,z_events_per_second,max_z,anomaly_feature
NimzzMihate/alya-data,366,1,0.0,366.0,0.02558367118691458,28.389630908628643,-0.13528239757438554,-0.5646739520184048,29.28108017965567,-1.3038008612840926,29.28108017965567,events_per_actor
merge-demo/mergequeue-bazel,377,7,0.9442970822281167,53.857142857142854,0.026547426237588902,29.24830141585404,10.219343132008106,1.6944082821742992,4.163354476014823,-1.301836637733037,29.24830141585404,total_events
open-metadata/OpenMetadata,41,18,0.24390243902439024,2.2777777777777777,0.002902243930063,3.0198204678782257,29.202823269576008,0.01882426824101516,0.012830719392350465,-1.3500277459663448,29.202823269576008,unique_actors
demisto/content,36,18,0.16666666666666666,2.0,0.0027008777852802163,2.629515691866681,29.202823269576008,-0.16595016817446784,-0.009521693514525437,-1.3504381491322643,29.202823269576008,unique_actors
ROCm/rocm-libraries,24,18,0.041666666666666664,1.3333333333333333,0.0018165304268846503,1.6927842294389734,29.202823269576008,-0.46499300605742055,-0.06316748449102763,-1.3522405323285533,29.202823269576008,unique_actors
NawfalMotii79/PLFM_RADAR,18,18,0.0,1.0,0.0020226991796831106,1.2244184982251194,29.202823269576008,-0.5646739520184048,-0.08999037997927872,-1.3518203409952316,29.202823269576008,unique_actors
dust-tt/dust,53,18,0.018867924528301886,2.9444444444444446,0.003756733768074851,3.9565519303059333,29.202823269576008,-0.5195354104511667,0.06647651036885267,-1.3482862152083102,29.202823269576008,unique_actors
a807866778/project-inventory,363,1,0.0,363.0,0.03355518580144204,28.155448043021714,-0.13528239757438554,-0.5646739520184048,29.03967412026141,-1.287554163814147,29.03967412026141,events_per_actor
neco222/RSS,350,1,0.0,350.0,0.02451152041459486,27.140655625391698,-0.13528239757438554,-0.5646739520184048,27.993581196219615,-1.3059860055235955,27.993581196219615,events_per_actor
obra/superpowers,17,17,0.0,1.0,0.001434962437747953,1.1463575430228103,27.477052347978926,-0.5646739520184048,-0.08999037997927872,-1.3530182038230547,27.477052347978926,unique_actors
home-assistant/core,29,17,0.06896551724137931,1.7058823529411764,0.0022583910910365236,2.083089005450518,27.477052347978926,-0.39968480008298257,-0.03318895423945288,-1.3513399786845492,27.477052347978926,unique_actors
anomalyco/opencode,22,17,0.2727272727272727,1.2941176470588236,0.0017227877838684417,1.5366623190343554,27.477052347978926,0.0877831488171284,-0.06632311925435128,-1.3524315886628593,27.477052347978926,unique_actors
n8n-io/n8n,36,17,0.16666666666666666,2.1176470588235294,0.0029615004935834156,2.629515691866681,27.477052347978926,-0.16595016817446784,-5.478922455446111e-05,-1.34990697550964,27.477052347978926,unique_actors
paritytech/polkadot-sdk,35,17,0.22857142857142856,2.0588235294117645,0.0026662603793707624,2.551454736664372,27.477052347978926,-0.017852762746719812,-0.004788241369539967,-1.3505087026654634,27.477052347978926,unique_actors
MemPalace/mempalace,17,17,0.0,1.0,0.0013256394260761073,1.1463575430228103,27.477052347978926,-0.5646739520184048,-0.08999037997927872,-1.3532410144159,27.477052347978926,unique_actors
quocloly83-cpu/testl4m,339,1,0.0,339.0,0.023837986076928486,26.2819851181663,-0.13528239757438554,-0.5646739520184048,27.10842564510733,-1.3073587319311648,27.10842564510733,events_per_actor
nonkh/xoxz,339,1,0.0,339.0,0.023628633163727607,26.2819851181663,-0.13528239757438554,-0.5646739520184048,27.10842564510733,-1.307785412883242,27.10842564510733,events_per_actor
Husninaazra/react,336,1,0.0,336.0,0.33136094674556216,26.04780225255937,-0.13528239757438554,-0.5646739520184048,26.86701958571307,-0.6805979783423711,26.86701958571307,events_per_actor
rust-lang/crates.io-index,331,1,0.0,331.0,0.02313391109868605,25.657497476547828,-0.13528239757438554,-0.5646739520184048,26.464676153389306,-1.3087937030402708,26.464676153389306,events_per_actor
xiaoandy1974g/gdl,329,1,0.0,329.0,0.022998951415588956,25.50137556614321,-0.13528239757438554,-0.5646739520184048,26.3037387804598,-1.3090687635837115,26.3037387804598,events_per_actor
vhospedagem/vps-info,325,1,0.0,325.0,0.024992310058443556,25.189131745333974,-0.13528239757438554,-0.5646739520184048,25.981864034600786,-1.305006110952988,25.981864034600786,events_per_actor
