actor_login,repo_name,event_count,rank,purpose_label,name_category,language
Tom973-bot,Tom973-bot/TP-Terraform,1,1.0,no_description,automation,
Twind-Bot,twind-ops/TwindApi-PublicOpenApi,2,1.0,no_description,general,
Vaulty-bot,vultisig/vultisig-android,6,1.0,no_description,general,
Vaulty-bot,vultisig/vultisig-ios,1,2.0,no_description,general,
Zlendy-bot,Zlendy/status.zlendy.com,3,1.0,no_description,general,
a-kazakov-doppelganger[bot],a-kazakov/gomr,2,1.0,no_description,general,
aas-ark-bot[bot],mckinsey/agents-at-scale-ark,1,1.0,no_description,general,
aave-dao-update-bot[bot],aave-dao/seatbelt-gov-v3,3,1.0,no_description,general,
abema-wiz-code[bot],abema/workflow-test-flagfit,2,1.0,no_description,automation,
accept-to-ship-bot[bot],CatChen/versioned-storage,2,1.0,no_description,general,
accessibility-bot,github/accessibility-scanner,4,1.0,no_description,general,
acp-release-bot[bot],agentclientprotocol/agent-client-protocol,2,1.0,no_description,general,
actions-bypass-bot[bot],navtoj/ufv-api,1,1.0,no_description,general,
actions-canary-bot[bot],bbq-beets/ForkPRCanary,13,1.0,no_description,general,
actions-cd[bot],whispr-messenger/infrastructure,2,1.0,no_description,general,
actions-maintenance-bot[bot],TimSchoenle/actions,1,1.0,no_description,automation,
actions-test-bot[bot],TimSchoenle/actions-testing,7,1.0,no_description,automation,
actions-write-access[bot],nl-portal/nl-portal-frontend-libraries,1,1.0,no_description,general,
actual-github-bot[bot],actualbudget/actual,1,1.0,no_description,general,
actuarius-bot[bot],DigitumDei/mempalace,1,1.0,no_description,general,
adacore-bot,AdaCore/training_material,3,1.0,no_description,general,
adacore-bot,AdaCore/e3-core,1,2.0,no_description,general,
adacore-bot,AdaCore/langkit-query-language,1,3.0,no_description,general,
adguard-bot,AdguardTeam/AdguardForWindows,3,1.0,no_description,general,
adguard-bot,AdguardTeam/AdguardFilters,2,2.0,no_description,general,
adguard-bot,AdguardTeam/AdGuardVPNForWindows,1,3.0,no_description,general,
adhoc-cicd-bot,adhoc-cicd/oca-account-analytic,2,1.0,no_description,general,
adityatandon1095-bot,adityatandon1095-bot/oneselect-ai,4,1.0,no_description,automation,
ado-gh-sync[bot],gofynd/fdk-react-templates,1,1.0,no_description,demo_or_test,
adobe-bot,AdobeDocs/campaign-learn.pt-BR,1,1.0,no_description,docs,
adobe-bot,AdobeDocs/commerce-admin.zh-Hans,1,2.0,no_description,docs,
adobe-bot,AdobeDocs/commerce.de-DE,1,3.0,no_description,docs,
adobe-bot,AdobeDocs/commerce.pt-BR,1,4.0,no_description,docs,
adobe-bot,AdobeDocs/experience-manager-guides.zh-Hans,1,5.0,no_description,docs,
aegis-gh-agent[bot],OneStepAt4time/aegis,1,1.0,no_description,general,
aelita-assistant[bot],huongdp/home-ops,3,1.0,no_description,general,
aem-code-sync[bot],adobe-experience-league/exlm-stage,1,1.0,no_description,general,
aether-setup[bot],Lovelace-AI/hello-world-yottagraph,1,1.0,no_description,general,
affinidi-semantic-release[bot],affinidi/affinidi-tdk,1,1.0,no_description,general,
affinidi-semantic-release[bot],affinidi/affinidi-tdk-dotnet,1,2.0,no_description,general,
affinidi-tdk[bot],affinidi/affinidi-tdk-dart,1,1.0,no_description,general,
afharo-s-self-hosted-renovate[bot],afharo/dockerized-smarthome,1,1.0,no_description,general,
agent-of-me[bot],misumisumi/flakes,1,1.0,no_description,general,
agent-platform-auto-pr[bot],DataDog/datadog-agent,2,1.0,no_description,general,
agentos-irl[bot],AgentOS-IRL/Neural-Loop,3,1.0,no_description,general,
agentotto[bot],worldcoin/world-id-protocol,1,1.0,no_description,general,
agentpatterns-publisher[bot],agentpatterns-ai/website,1,1.0,no_description,general,
agentuity-agent[bot],agentuity/sdk,1,1.0,no_description,general,
agovska-bot,agovska-bot/Firstep-Moody_Buddy,1,1.0,no_description,automation,
agrima24bey10083-bot,agrima24bey10083-bot/ml-project,1,1.0,no_description,automation,
ahproxmox-token-service[bot],ahproxmox/notes-rag,1,1.0,no_description,general,
ai-remediation[bot],NagendraOpsmx/skills,2,1.0,no_description,general,
ai-skill-store[bot],aiskillstore/marketplace,1,1.0,no_description,general,
aiforcerapidfixapp[bot],AgenticSecVulnRemediation/pygoat,28,1.0,no_description,general,
aikido-autofix[bot],MDCyberhub/InsecureShop,1,1.0,no_description,general,
aikido-autofix[bot],MDCyberhub/kubernetes-goat,1,2.0,no_description,general,
aikido-autofix[bot],Xerrion/DragonLoot,1,3.0,no_description,general,
aikido-autofix[bot],icwt-demo/vulnerable-code-examples,1,4.0,no_description,demo_or_test,
aikido-autofix[bot],stuartMoorhouse/traefik-otel-demo,1,5.0,no_description,demo_or_test,
